show_id;type;title;director;country;date_added;release_year;rating;duration;listed_in;cast_1;cast_2;cast_3;cast_4;cast_5;cast_6;cast_7;cast_8;cast_9;cast_10;cast_11;cast_12;cast_13;cast_14;cast_15;cast_16;cast_17;cast_18;cast_19;cast_20;cast_21;cast_22;cast_23;cast_24;cast_25;cast_26;cast_27;cast_28;cast_29;cast_30;cast_31;cast_32;cast_33;cast_34;cast_35;cast_36;cast_37;cast_38;cast_39;cast_40;cast_41;cast_42;cast_43;cast_44;cast_45;cast_46;cast_47;cast_48;cast_49;cast_50
s1;Movie;Dick Johnson Is Dead;Kirsten Johnson;United States;September 25, 2021;2020;PG-13;90 min;Documentaries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2;TV Show;Blood & Water;;South Africa;September 24, 2021;2021;TV-MA;2 Seasons;International TV Shows, TV Dramas, TV Mysteries;Ama Qamata; Khosi Ngema; Gail Mabalane; Thabang Molaba; Dillon Windvogel; Natasha Thahane; Arno Greeff; Xolile Tshabalala; Getmore Sithole; Cindy Mahlangu; Ryle De Morny; Greteli Fincham; Sello Maake Ka-Ncube; Odwa Gwanya; Mekaila Mathys; Sandi Schultz; Duane Williams; Shamilla Miller; Patrick Mofokeng;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s3;TV Show;Ganglands;Julien Leclercq;;September 24, 2021;2021;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Action & Adventure;Sami Bouajila; Tracy Gotoas; Samuel Jouy; Nabiha Akkari; Sofia Lesaffre; Salim Kechiouche; Noureddine Farihi; Geert Van Rampelberg; Bakary Diombera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s4;TV Show;Jailbirds New Orleans;;;September 24, 2021;2021;TV-MA;1 Season;Docuseries, Reality TV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s5;TV Show;Kota Factory;;India;September 24, 2021;2021;TV-MA;2 Seasons;International TV Shows, Romantic TV Shows, TV Comedies;Mayur More; Jitendra Kumar; Ranjan Raj; Alam Khan; Ahsaas Channa; Revathi Pillai; Urvi Singh; Arun Kumar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s6;TV Show;Midnight Mass;Mike Flanagan;;September 24, 2021;2021;TV-MA;1 Season;TV Dramas, TV Horror, TV Mysteries;Kate Siegel; Zach Gilford; Hamish Linklater; Henry Thomas; Kristin Lehman; Samantha Sloyan; Igby Rigney; Rahul Kohli; Annarah Cymone; Annabeth Gish; Alex Essoe; Rahul Abburi; Matt Biedel; Michael Trucco; Crystal Balint; Louis Oliver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s7;Movie;My Little Pony: A New Generation;Robert Cullen, José Luis Ucha;;September 24, 2021;2021;PG;91 min;Children & Family Movies;Vanessa Hudgens; Kimiko Glenn; James Marsden; Sofia Carson; Liza Koshy; Ken Jeong; Elizabeth Perkins; Jane Krakowski; Michael McKean; Phil LaMarr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s8;Movie;Sankofa;Haile Gerima;United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia;September 24, 2021;1993;TV-MA;125 min;Dramas, Independent Movies, International Movies;Kofi Ghanaba; Oyafunmike Ogunlano; Alexandra Duah; Nick Medley; Mutabaruka; Afemo Omilami; Reggie Carter; Mzuri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s9;TV Show;The Great British Baking Show;Andy Devonshire;United Kingdom;September 24, 2021;2021;TV-14;9 Seasons;British TV Shows, Reality TV;Mel Giedroyc; Sue Perkins; Mary Berry; Paul Hollywood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s10;Movie;The Starling;Theodore Melfi;United States;September 24, 2021;2021;PG-13;104 min;Comedies, Dramas;Melissa McCarthy; Chris O'Dowd; Kevin Kline; Timothy Olyphant; Daveed Diggs; Skyler Gisondo; Laura Harrier; Rosalind Chao; Kimberly Quinn; Loretta Devine; Ravi Kapoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
